"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-153487185","France","Marine","Not mentioned","Pollution","Researchers, Policymakers","No description provided","Documentary analysis","Document-based data","Time lag, Relevance, Uncertainty, Timeliness of evidence, Social, political, and economic context, Practitioner/policymaker personal characteristics","Natural sciences","Multi-country","International","Government/statutory body, Academic institution","Policymaking about management of eutrophication","France","Europe"
"rayyan-153487268","Canada","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Canada","Americas"
"rayyan-153487268","USA","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","United States","Americas"
"rayyan-153487268","Mexico","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Mexico","Americas"
"rayyan-153487268","Guatemala","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Guatemala","Americas"
"rayyan-153487268","Costa Rica","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Costa Rica","Americas"
"rayyan-153487268","Colombia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Colombia","Americas"
"rayyan-153487268","Ecuador","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Ecuador","Americas"
"rayyan-153487268","Chile","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Chile","Americas"
"rayyan-153487268","Argentina","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Argentina","Americas"
"rayyan-153487268","Brazil","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Brazil","Americas"
"rayyan-153487268","UK","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","United Kingdom","Europe"
"rayyan-153487268","France","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","France","Europe"
"rayyan-153487268","Spain","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Spain","Europe"
"rayyan-153487268","Belgium","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Belgium","Europe"
"rayyan-153487268","Germany","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Germany","Europe"
"rayyan-153487268","Italy","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Italy","Europe"
"rayyan-153487268","Switzerland","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Switzerland","Europe"
"rayyan-153487268","Austria","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Austria","Europe"
"rayyan-153487268","Greece","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Greece","Europe"
"rayyan-153487268","Israel","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Israel","Asia"
"rayyan-153487268","Georgia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Georgia","Asia"
"rayyan-153487268","India","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","India","Asia"
"rayyan-153487268","China","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","China","Asia"
"rayyan-153487268","Malaysia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Malaysia","Asia"
"rayyan-153487268","Indonesia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Indonesia","Asia"
"rayyan-153487268","Japan","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Japan","Asia"
"rayyan-153487268","Australia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Australia","Oceania"
"rayyan-153487268","South Africa","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","South Africa","Africa"
"rayyan-153487268","Algeria","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Algeria","Africa"
"rayyan-153487268","Ivory Coast","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Côte d'Ivoire","Africa"
"rayyan-153487268","Nigeria","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Nigeria","Africa"
"rayyan-153487268","Cameroon","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Cameroon","Africa"
"rayyan-153487268","Congo","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Republic of the Congo","Africa"
"rayyan-153487268","Ethiopia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Ethiopia","Africa"
"rayyan-153487268","Kenya","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Kenya","Africa"
"rayyan-153487268","Tanzania","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Tanzania","Africa"
"rayyan-153487268","Portugal","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Portugal","Europe"
"rayyan-153487268","Netherlands","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Netherlands","Europe"
"rayyan-153487268","Norway","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Norway","Europe"
"rayyan-153487268","Sweden","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Sweden","Europe"
"rayyan-153487268","denmark","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Denmark","Europe"
"rayyan-153487268","Finland","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Finland","Europe"
"rayyan-153487268","Russia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Russia","Europe"
"rayyan-153487268","Romania","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Romania","Europe"
"rayyan-153487268","Hungary","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Hungary","Europe"
"rayyan-153487268","Poland","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Poland","Europe"
"rayyan-153487268","Ghana","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Ghana","Africa"
"rayyan-153487268","Liberia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","Liberia","Africa"
"rayyan-153487268","New Zealand","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys","Stakeholder perceptions","Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Not detailed","","New Zealand","Oceania"
"rayyan-153487445","South Africa","Freshwater","Not mentioned","Not reported","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Uncertainty, Scientist-actor relationships, Relationships between colleagues, Practitioner/policmaker attitude towards evidence use, Management","Not mentioned","Multi-region","Not reported","Government/statutory body","","South Africa","Africa"
"rayyan-153487515","Australia","Not mentioned","Not mentioned","Not reported","Practitioners","Expert opinion","Interviews","Stakeholder perceptions","Time lag, Relevance, Rigour, Spatial/temporal scale of evidence, Source of evidence, Social, political, and economic context, Implementation capacity","Both natural and social sciences","Multi-unit","National","Government/statutory body","Species prioritisation","Australia","Oceania"
"rayyan-153487658","UK","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","Report","Interviews, Documentary analysis","Mixed data","Format and language, Rigour, Uncertainty, Timeliness of evidence, Social, political, and economic context","Not mentioned","Multi-unit","National","Government/statutory body, NGO/non-profit, Academic institution","National policy on nature conservation","United Kingdom","Europe"
"rayyan-153487667","Brazil","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Accessibility of evidence, Format and language, Language barrier, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-unit","National","Government/statutory body, Academic institution","No specific decision","Brazil","Americas"
"rayyan-153487781","South Africa","Not mentioned","Mammals","Not reported","Practitioners","Peer-reviewed studies, Reports","Interviews","Stakeholder perceptions","Relevance, Spatial/temporal scale of evidence, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker personal characteristics, Culture of practitioner/policymakers, Capacity and resources","Natural sciences","Multi-region","Local","Government/statutory body","Management of elephant populations","South Africa","Africa"
"rayyan-153487982","Canada","Not mentioned","Not mentioned","Not reported","Practitioners","Peer-reviewed studies","Surveys, Documentary analysis","Mixed data","Relevance, Spatial/temporal scale of evidence","Not mentioned","Single","Regional","NGO/non-profit","Conservation planning process","Canada","Americas"
"rayyan-153487798","Anguilla","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Anguilla","Americas"
"rayyan-153487798","Antigua and Barbuda","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Antigua and Barbuda","Americas"
"rayyan-153487798","Belize","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Belize","Americas"
"rayyan-153487798","Colombia","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Colombia","Americas"
"rayyan-153487798","Costa Rica","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Costa Rica","Americas"
"rayyan-153487798","Cuba","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Cuba","Americas"
"rayyan-153487798","Dominica","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Dominica","Americas"
"rayyan-153487798","Dominican Republic","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Dominican Republic","Americas"
"rayyan-153487798","Grenada","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Grenada","Americas"
"rayyan-153487798","Guatemala","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Guatemala","Americas"
